# Synthetic stand-in values used across the committed fixtures under test/fixtures/.
#
# tools/redact-fixture.ts's substitution map (the "--map" file) is NEVER committed: it pairs each
# real identity with its synthetic stand-in, so committing it would publish exactly the data
# redaction removes. That means tools/bootstrap-vocabulary.ts and
# test/fixtures-vocabulary-complete.test.ts — both of which run against the seven committed
# fixtures with no access to the real map — have no way to know which strings are the invented
# stand-ins tools/fixture-policy.ts must elide before reducing an atom to its skeleton.
#
# This file closes that gap. Every line below is a synthetic value BY CONSTRUCTION: it was
# generated by running the EXISTING tennisrecord/usta detector sets from tools/capture-fixture.ts
# (playername=, teamname=, uaid, tennis-id, the displayed-name and displayed-location detectors)
# over the seven already-redacted, already-committed fixtures and collecting every captured value.
# PR #26's detector sweep already asserted that every one of those captures is a synthetic
# "allowed" value before the fixture could be committed in the first place — this file just
# reuses that proven machinery rather than inventing a new derivation (issue #28, deviation D1).
#
# The name-shape "# reviewed:" gate in tools/fixture-policy.ts's loadVocabulary() does NOT apply
# here: every line in this file is name-shaped by definition (a synthetic person, team, or
# location) and is already known-synthetic by how the file was generated, so a per-line human
# justification would be theatre, not review.
#
# Regenerate by re-running the detector sweep over test/fixtures/{tennisrecord,usta}/*.html.
Arden Ashcroft
Avery Ashby
Bellamy Birchall
Blake Bramwell
BRA9000002
Casey Calder
Cypress Cranmore
Delaney Duxbury
Devon Denholm
Ellis Eastwick
EMORY ELLERBY
Fairbrook, KS
Fenwick, Frost
Finley Fairbank
Frost Fenwick
Galen Granborough
Granborough, Galen
Gray Glenmore
Harper Halloway
Hartwell, Hollis
HOA/Marchetti/18&over4.0M
HOA/Rushworth/18&over4.0M
HOA/Rushworth/40&over4.0M
Hollis Hartwell
Indigo Ivorton
Inglewood, Ira
Ira Inglewood
Jarrow, Juniper
Jules Jessop
Juniper Jarrow
Kai Kestrel
Kendry Kimberley
Lane Linfield
Lumen Lockhart
Marek Melbourne
Marlow Marchetti
Melbourne, Marek
Nolan Northcote
Norbury, Nova
Northcote, Nolan
Nova Norbury
Oakhurst, Orin
Oakley Ostrand
Orin Oakhurst
Perrin Pemberly
Peyton Pennyworth
Quinn Quillon
Reese Ravensby
Rivermont, MO
Rowan Rushworth
Rushworth, Rowan
Sable Stanbridge
Sable, Sawyer
Sawyer Sable
Stanbridge, Sable
Tatum Thornwood
Tavistock Teale
Teale Tavistock
Ulverton, Umber
Umber Ulverton
Vale Underhill
Vandermere, Verity
VER9000001
Verity Vandermere
Wren Verdane
Xander Wexford
Yuma Yarrowby
Zephyr Zellman
